EquipmentNumber,Region,Destination,DMFCategory,StartGridRefEN,TypeofInstall,InstallLocation,TypeOf,CounterNetwork,CounterType,active,date,longitude,latitude
100121601,ESI,Craigeburn Forest Park activities,Local Treasure,1493390-5218668,Long term,Mt. Cheeseman Skifield Road,Vehicle Counter - Low Speed,National,Counter Electronic V,red,,171.68826680188,-43.1772361809721
100121657,NNI,Waima/Waoku Coach Road backcountry,Back Country,1640439-6068402,"",Hauturu Highpoint Track,Track,National,Counter Electronic V,red,2020-02-12,173.446037151362,-35.5271679277647
100121715,CNI,Bruce Road/carparks,Local Treasure,1819401-5657323,"","",,"",Counter Electronic V,navy,2021-08-16,175.540944101396,-39.2056726191499
100121716,CNI,Bruce Road/carparks,Local Treasure,1819401-5657323,"","",,"",Counter Electronic V,navy,2021-08-16,175.540944101396,-39.2056726191499
100121717,CNI,Tongariro/Erua Forests backcountry,Back Country,1808796-5681405,"",Dominion Road,Road,National,Counter Electronic V,blue,2021-05-11,175.410829755772,-38.9914713986346
100121718,CNI,Tongariro/SH47 walks,Local Treasure,1819606-5669335,"","42 Traverse, John Macdonald Rd",,National,Counter Electronic V,red,,175.539424207657,-39.097485945086
100121719,CNI,Tongariro/Erua Forests backcountry,Back Country,1816759-5669420,"","42 Traverse, Kapoors Rd",,National,Counter Electronic V,navy,2021-08-03,175.50650527841,-39.0974329370751
100121720,CNI,Tongariro Alpine Crossing,Icon,1830649-5672185,"",Ketetahi Road,,National,Counter Electronic V,navy,2021-07-25,175.66602798345,-39.068981597363
100121721,CNI,Tukino Road - SH1 to Skifield,Local Treasure,1833316-5647808,"","",,"",Counter Electronic V,blue,2021-05-21,175.705225490297,-39.2876914866974
100121722,CNI,Tongariro Alpine Crossing,Icon,1818050-5665502,"",Mangatepopo Road,,National,Counter Electronic V,navy,2021-08-06,175.522678510885,-39.1323826547484
100121723,CNI,Tongariro/SH47 walks,Local Treasure,1818494-5673830,"",Pukehinau Road,,National,Counter Electronic V,navy,2021-08-03,175.525133564608,-39.0572991668662
100121724,CNI,Ohakune walks and campsite,Local Treasure,1815539-5631446,"",Rangataua Road,,National,Counter Electronic V,blue,2021-05-17,175.504556789817,-39.4395906798811
100121725,CNI,Ohakune walks and campsite,Local Treasure,1816809-5631531,"",Rotokura Access Road,,National,Counter Electronic V,navy,2021-08-06,175.519273239241,-39.4385069035258
100121814,ESI,Mt Somers Track,Gateway,1472065-5168917,"","Mt Somers Tk, Pinnacles Hut",,National,Counter Electronic V,navy,2021-06-29,171.414334806476,-43.6217380554195
100121957,CNI,Turangi-southern Lake Taupo activities,Local Treasure,1839274-5689962,Long term,Pukawa Omori Track,Pedestrian Counter - Pad,National,Counter Electronic V,blue,2021-04-11,175.75939242886,-38.9066519949937
100121986,AKL,Goat Island Bay Marine Reserve,Icon,1761047-5984013,Long term,"GOAT ISLAND ROAD, LEIGH",Vehicle Counter - High Speed,National,Counter Electronic V,red,,174.79304411914,-36.2754063732502
100121988,WSI,Paparoa coast activities,Local Treasure,1462930-5337810,Long term,"Paparoa, Bullock Ck Rd",Vehicle Counter - Low Speed,National,Counter Electronic V,navy,2021-07-25,171.342347734382,-42.0998312709503
100121989,WSI,Oparara Basin,Gateway,1527530-5440430,Long term,Oparara Basin Road,Vehicle Counter - Low Speed,National,Counter Electronic V,navy,2021-06-28,172.135897152372,-41.1842432688699
100121991,WSI,Lake Daniells/Marble Hill,Gateway,1536280-5310805,Long term,Marble Hill Road,Vehicle Counter - Low Speed,National,Counter Electronic V,navy,2021-07-05,172.22631717146,-42.3524104524296
100121992,WSI,Greymouth/Lake Brunner walks,Local Treasure,1464345-5287598,Long term,Woods Creek Walk,Vehicle Counter - Low Speed,National,Counter Electronic V,red,2018-06-20,171.347662954361,-42.5521070886041
100121993,WSI,Lake Mahinapua,Gateway,1427996-5260225,Long term,Lake Mahinapua Access Rd,Vehicle Counter - Low Speed,National,Counter Electronic V,yellow,2021-01-27,170.896881872206,-42.7912147988108
100121994,WSI,Fox Glacier activities,Local Treasure,1343180-5188795,Long term,Gillespies Beach Rd,Vehicle Counter - Low Speed,National,Counter Electronic V,blue,2021-09-06,169.828090960922,-43.409738229969
100121995,WSI,Ship Creek,Icon,1289835-5147725,Long term,Ship Creek Access Road,Vehicle Counter - Low Speed,National,Counter Electronic V,red,,169.147077047417,-43.7585554460065
100121997,WSI,Fox Glacier walk,Icon,1358280-5181900,Long term,"Fox Glacier Access Rd, Inbound",Vehicle Counter - Low Speed,National,Counter Electronic V,red,,170.011276414726,-43.4767576834428
100121998,WSI,Franz Josef Valley walk,Icon,1371665-5191455,Long term,Franz Josef Glacier  - Inbound,Vehicle Counter - Low Speed,National,Counter Electronic V,navy,2021-07-20,170.180566550275,-43.3950296293896
